Date,Number pizzas ordered,Number Pizzas left,Money Spent,Money Received
2011-06-24,6,0.0,120.0,140.4
2011-07-01,5,0.0,100.0,120.0
2011-07-08,5,0.0,105.0,131.0
2011-07-15,5,1.0,115.0,98.25
2011-07-22,5,0.0,108.0,116.0
2011-07-29,5,0.25,105.0,117.25
2011-08-05,5,0.0,115.0,119.5
2011-08-12,4,0.0,79.0,105.0
2011-08-19,5,0.25,105.0,118.5
2011-08-26,5,1.0,97.0,92.0
2011-09-16,5,0.0,105.0,109.6
2011-09-30,7,0.1,137.0,130.0
2011-10-06,7,2.5,127.0,124.0
2011-10-14,6,0.3,122.0,110.5
2011-10-21,7,0.75,145.0,100.25
2011-10-28,6,0.0,115.0,158.0
2011-11-04,6,0.0,130.18,119.5
2011-11-18,6,0.0,119.0,151.5
2012-02-10,6,0.0,126.0,119.25
2012-02-17,6,0.25,137.28,96.25
2012-02-24,6,0.0,120.0,131.5
2012-03-09,6,0.0,120.0,125.0
2012-03-16,6,0.1,130.0,115.0
2012-04-06,7,1.0,155.0,124.0
2012-04-13,6,0.0,125.0,145.5
2012-04-20,6,0.1,123.0,154.4
2012-04-27,6,0.1,125.0,131.0
2012-05-04,7,0.5,155.0,142.5
2012-05-18,6,0.75,125.0,106.5
2012-06-01,6,0.5,125.0,142.0
2012-06-08,6,0.25,125.0,134.0
2012-06-14,5,1.0,97.0,87.0
2012-06-22,5,0.5,101.0,105.0
2012-06-29,5,1.0,105.0,121.5
2012-07-06,5,1.0,109.0,111.5
2012-07-13,4,0.25,86.0,90.5
2012-07-20,4,0.0,85.0,84.25
2012-07-27,4,0.1,85.0,118.25
2012-08-03,4,0.25,90.0,78.2
2012-08-10,4,0.0,82.0,104.0
2012-08-24,4,1.0,84.0,56.0
2012-08-31,4,0.0,85.0,108.0
2012-09-06,4,1.0,90.0,100.05
2012-09-21,5,0.0,109.0,118.0
2012-12-07,6,0.0,120.0,146.0
2013-03-22,4,0.0,85.0,117.5
2013-04-05,5,1.0,110.0,101.8
2013-04-12,5,0.25,106.0,131.25
2013-04-19,6,1.0,130.0,106.0
2013-05-17,5,0.0,117.0,144.5
2013-06-28,4,1.0,105.0,86.5
2013-07-05,3,1.0,65.0,45.0
2013-07-12,3,0.0,65.0,87.0
2013-08-02,3,0.0,70.0,94.0
2013-08-09,4,0.5,93.0,91.5
2013-08-16,4,0.75,95.0,81.0
2013-08-30,3,0.0,67.0,61.5
2013-09-20,4,1.0,93.75,69.83
2013-10-04,6,0.0,128.0,120.0
2013-10-25,6,1.0,130.0,102.25
2014-03-21,3,0.0,70.04,91.5
2014-03-28,2,0.0,55.0,53.35
2014-06-27,3,0.0,79.0,65.5
2014-07-18,3,0.0,73.0,83.5
2014-07-25,3,2.0,65.0,64.0
2014-08-08,3,0.0,75.0,61.5
2014-08-15,3,0.0,65.0,85.0
2014-09-04,3,0.0,80.0,70.0
2014-09-26,6,1.0,140.0,106.75
2014-10-03,5,0.0,109.0,130.0
2014-10-10,5,0.0,110.0,104.0
